author,CVPR,ECCV,ICCV,IROS,ACMMM,BMVC,MICCAI,WACV,ICIP,ACCV,ICPR,ICMR,FG,MMSys,NeurIPS,ICML,ACL,AAAI,EMNLP,SIGKDD,IJCAI,SIGMOD,INTERSPEECH,SIGIR,ISIT,AISTATS,WSDM,CIKM,COLT,RecSys,LREC,ICDMW,COLING,EACL,SDM,LAK,IJCNN,AIME,UAI,Big Data,Allerton,ECMLPKDD,CHI,UIST,CCS,INFOCOM,SIGCOMM,WWW,NDSS,NSDI,ICC,CSCW,GLOBECOM,UbiComp,EUROCRYPT,CRYPTO,MobiCom,VTC,ACT,Mobisys,FC,IPDPS,ICDCS,IMC,SoCC,SENSYS,CoNEXT,DSN,PPOPP,PKC,ICRA,ISSCC,ISCA,HPCA,DAC,RSS,MICRO,SC,DATE,CDC,FAST,ACC,HRI,CHES,Humanoids,ISCAS,VLSIC,EuroSys,DIS,ICMI,ICSE,ASPLOS,PLDI,FOCS,FSE,POPL,OSDI,SODA,ASE,TACAS,CAV,ISSTA,OOPSLA,ICSME,ICALP,SANER,ITCS,CEC,STOC,ICASSP,TCC,ISMIR,VLDB,HICSS,MSR,ECIS,SemEval,EC,USENIX Security,SP,ASIACRYPT,ESORICS,ACSAC,HLT-NAACL,CoNLL
Philip S. Yu,6,0,3,0,7,0,0,0,1,0,0,1,0,0,2,6,3,13,1,71,12,21,0,4,0,1,12,62,0,2,0,81,0,0,70,0,8,0,0,40,0,15,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0
Thomas S. Huang,101,14,37,0,22,3,0,8,87,6,61,2,0,0,7,1,0,12,0,2,7,0,11,0,0,1,3,0,0,0,0,6,1,0,5,0,4,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Shrikanth S. Narayanan,0,0,0,0,5,0,0,0,4,0,1,2,0,0,0,0,6,1,3,0,0,0,259,0,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,1,0,0,0,0,6,0,0,0,0,0,0,3,0
Jiawei Han 0001,1,0,2,0,4,1,0,0,0,0,0,1,0,0,4,2,8,10,7,92,10,41,0,10,0,2,15,40,0,1,0,53,4,0,31,0,0,0,2,3,0,19,0,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,2,0
Luc Van Gool,145,68,55,2,7,32,3,25,10,16,18,1,0,0,6,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermann Ney,6,3,0,0,0,6,0,0,1,0,14,0,0,0,1,1,30,0,17,0,0,0,144,0,0,0,0,0,0,0,16,0,15,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
Mohamed-Slim Alouini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,0,118,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinggang Shen,16,1,1,0,0,0,332,0,3,1,3,0,0,0,2,1,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Vincent Poor,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,9,0,0,0,0,56,0,87,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Toshio Fukuda,0,0,0,147,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
